label	question	answer_test	answer
1	Прошел обучение, где документ	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошел обучение, где документ
1	Когда отправят документы об окончании курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда отправят документы об окончании курсов
1	Как мне получить документы об образовании	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как мне получить документы об образовании
1	Нет документов об образовании, что делать	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Нет документов об образовании, что делать
1	Прошел обучение, когда мне пришлют оригиналы документов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошел обучение, когда мне пришлют оригиналы документов
1	Когда будут высланы документы о прохождении курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда будут высланы документы о прохождении курсов
1	Куда исчезли мои документы о прохождении обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Куда исчезли мои документы о прохождении обучения
1	Какие сроки получения документов об образовании	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Какие сроки получения документов об образовании
1	Закончил учиться. Как понять всё ли хорошо с документами	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Закончил учиться. Как понять всё ли хорошо с документами
1	Мне нужны документы обучения, как их получить	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Мне нужны документы обучения, как их получить
1	Когда вы отправите документы по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда вы отправите документы по обучению
1	Как получить документы, после окончания обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить документы, после окончания обучения
1	Когда будут отправлены документы по пройденным образовательным программам	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда будут отправлены документы по пройденным образовательным программам
1	Вопрос по поводу получения документов об окончании учебы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Вопрос по поводу получения документов об окончании учебы
1	Когда будут отправлены документы об прохождении обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда будут отправлены документы об прохождении обучения
1	Просил выслать мне документы по обучению, не пришли	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Просил выслать мне документы по обучению, не пришли
1	Как получить бумажные экземпляры дипломов по прошедшему обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить бумажные экземпляры дипломов по прошедшему обучению
1	Как можно получить документ по факту окончания курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как можно получить документ по факту окончания курса
1	Не получил диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Не получил диплом
1	Мне оригинал сертификата пришлют	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Мне оригинал сертификата пришлют
1	Вопросо о документе по результатам обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Вопросо о документе по результатам обучения
1	Как получить бумажные дипломы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить бумажные дипломы
1	Оригинал документа о прохождении курса я получу по почте	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Оригинал документа о прохождении курса я получу по почте
1	Можно мне получить документы по всем пройденным курсам	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Можно мне получить документы по всем пройденным курсам
1	Завершил обучение по нескольким программам, когда могу ожидать документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Завершил обучение по нескольким программам, когда могу ожидать документы
1	Когда я смогу получить диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда я смогу получить диплом
1	Оригиналы документов по окончанию обучения где можно получить	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Оригиналы документов по окончанию обучения где можно получить
1	Будут ли доставлены оригиналы документов подтверждающих обучение	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Будут ли доставлены оригиналы документов подтверждающих обучение
1	Каким способом происходит отправка документов об окончании учебы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Каким способом происходит отправка документов об окончании учебы
1	Как мне получить документ об окончании курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как мне получить документ об окончании курса
1	Вопрос по доставке документа о прошедшем обучении	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Вопрос по доставке документа о прошедшем обучении
1	Закончила обучение. Когда ждать оригиналы дипломов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Закончила обучение. Когда ждать оригиналы дипломов
1	Документы о прохождении курсов когда получу	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Документы о прохождении курсов когда получу
1	Прошла обучение на Вашей платформе, как я могу получить оригиналы документов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошла обучение на Вашей платформе, как я могу получить оригиналы документов
1	Всё прошла, все документы загрузила, а диплома так и нет	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Всё прошла, все документы загрузила, а диплома так и нет
1	Я прошла обучение, когда будут высланы оригиналы на адрес	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Я прошла обучение, когда будут высланы оригиналы на адрес
1	Как узнать трек номер для отслеживания доставки оригинала диплома	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как узнать трек номер для отслеживания доставки оригинала диплома
1	Обучение прошел, мои дальнейшие действия чтобы получить диплом и удостоверение	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Обучение прошел, мои дальнейшие действия чтобы получить диплом и удостоверение
1	Закончил обучение, но диплом до сих пор не выслали	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Закончил обучение, но диплом до сих пор не выслали
1	Закончила обучение, где смотреть трек отслеживания	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Закончила обучение, где смотреть трек отслеживания
1	Прошел обучение, как получить оформленный документ	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошел обучение, как получить оформленный документ
1	Я не получил удостоверение о завершенных курсах	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Я не получил удостоверение о завершенных курсах
1	У меня закончилось обучение, выслали ли вы диплом и документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	У меня закончилось обучение, выслали ли вы диплом и документы
1	Не получил диплом после обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Не получил диплом после обучения
1	Не могу найти информацию по отправленному почтой дипломе	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Не могу найти информацию по отправленному почтой дипломе
1	Когда вышлют по почте диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда вышлют по почте диплом
1	Где мой диплом?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где мой диплом?
1	Диплома до сих пор нет	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Диплома до сих пор нет
1	Диплом будет отправлени или нет	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Диплом будет отправлени или нет
1	Окончила курс. Мои дальнейшие действия?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Окончила курс. Мои дальнейшие действия?
1	Когда я получу свои сертификаты и диплом?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда я получу свои сертификаты и диплом?
1	Диплом до сих пор не пришел	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Диплом до сих пор не пришел
1	Прошу разъяснить, где находится мой диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошу разъяснить, где находится мой диплом
1	Почему еще не прислали документы по пройденному обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Почему еще не прислали документы по пройденному обучению
1	После окончания курса вы разве не должны прислать какие нибудь документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	После окончания курса вы разве не должны прислать какие нибудь документы
1	Как можно получить сертификат, когда прошел тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как можно получить сертификат, когда прошел тест
1	Итоговый тест сдала, подскажите, мои дальнейшие действия, нужно получить документы об обучении	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Итоговый тест сдала, подскажите, мои дальнейшие действия, нужно получить документы об обучении
1	Я уже все прошла, можно ли мне как то уже получить свои документы по обучению?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Я уже все прошла, можно ли мне как то уже получить свои документы по обучению?
1	Прошла курс, как документы получить	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошла курс, как документы получить
1	Когда будут отправлены документы, если итоговые тесты сданы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда будут отправлены документы, если итоговые тесты сданы
1	закончила обучение, когда получу аттестат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	закончила обучение, когда получу аттестат
1	Где найти сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где найти сертификат
1	как получить сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	как получить сертификат
1	когда придет аттестат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	когда придет аттестат
1	Где мой диплом по окончании курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где мой диплом по окончании курса
1	мне не пришли дипломы, как быть	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	мне не пришли дипломы, как быть
1	мне не пришел диплом после обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	мне не пришел диплом после обучения
1	Мне до сих пор не пришли документы (диплом) об обучении	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Мне до сих пор не пришли документы (диплом) об обучении
1	мне не пришёл диплом пройдены курсах	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	мне не пришёл диплом пройдены курсах
1	жду документ об окончании курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	жду документ об окончании курсов
1	жду документ об окончании обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	жду документ об окончании обучения
1	где можно увидеть и распечатать свои документы об окончании курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно увидеть и распечатать свои документы об окончании курсов
1	я прошла обучение . подскажите когда и где можно посмотреть диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	я прошла обучение . подскажите когда и где можно посмотреть диплом
1	где находиться папка дипломы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где находиться папка дипломы
1	где в личном кабинете возможно посмотреть сертификат (диплом)	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где в личном кабинете возможно посмотреть сертификат (диплом)
1	где можно посмотреть пройденные курсы и дипломы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно посмотреть пройденные курсы и дипломы
1	где найти мой диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где найти мой диплом
1	где можно скачать диплом о моем обучении	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно скачать диплом о моем обучении
1	Где и как можно скачать электронный сертификат и диплом после прохождения обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где и как можно скачать электронный сертификат и диплом после прохождения обучения
1	где размещаются диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где размещаются диплом
1	где можно посмотреть мои дипломы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно посмотреть мои дипломы
1	где мой диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где мой диплом
1	где в личном кабинете я могу найти сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где в личном кабинете я могу найти сертификат
1	Где найти сертификат после пройденного теста	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где найти сертификат после пройденного теста
1	где посмотреть пройденные курсы и ссылки на полученные сертификаты	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где посмотреть пройденные курсы и ссылки на полученные сертификаты
1	Я прошла курсы, где и как я могу получить сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Я прошла курсы, где и как я могу получить сертификат
1	не могу найти сертификат, подскажите, где искать	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	не могу найти сертификат, подскажите, где искать
1	Как зайти на станицу в личном кабинете, где распечатать сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как зайти на станицу в личном кабинете, где распечатать сертификат
1	Прошел тест, где найти сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошел тест, где найти сертификат
1	я прошла обучение. где мой сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	я прошла обучение. где мой сертификат
1	где скачать диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где скачать диплом
1	где посмотреть диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где посмотреть диплом
1	Где скачать сертификат о прохождении курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где скачать сертификат о прохождении курсов
1	где мне посмотреть сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где мне посмотреть сертификат
1	где найти в личном кабинете сертификат об учебе	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где найти в личном кабинете сертификат об учебе
1	прошла обучение, но сертификата не найду. Где он расположен	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	прошла обучение, но сертификата не найду. Где он расположен
1	где можно увидеть сертификат по результатам прохождения тестов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно увидеть сертификат по результатам прохождения тестов
1	где можно найти сертификат обучения за прошлый год	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно найти сертификат обучения за прошлый год
1	где я могу найти сертификат участия	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где я могу найти сертификат участия
1	Где можно посмотреть свои сертификаты и курсы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где можно посмотреть свои сертификаты и курсы
1	Прошла тест, но не вижу где можно распечатать сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошла тест, но не вижу где можно распечатать сертификат
1	где найти свои сертификаты, которые получены ранее	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где найти свои сертификаты, которые получены ранее
1	где можно скачать сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	где можно скачать сертификат
1	Где скачать в личном кабинете сертификат	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где скачать в личном кабинете сертификат
2	Сдала тесты, что делать дальше	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сдала тесты, что делать дальше
2	Не прошла тест. Есть еще попытка пройти тест снова	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Не прошла тест. Есть еще попытка пройти тест снова
2	Программа зависла, мне надо заново проходить тогда итоговый тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Программа зависла, мне надо заново проходить тогда итоговый тест
2	Можно еще раз пройти тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Можно еще раз пройти тест
2	Тест сдал с опозданием на один день, ничего сташного	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Тест сдал с опозданием на один день, ничего сташного
2	Сколько вопросов в итоговом тесте	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сколько вопросов в итоговом тесте
2	Сколько дается времени на тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сколько дается времени на тест
2	Почему некоторые тесты не активны	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Почему некоторые тесты не активны
2	На что влияет, если в разделе тест- тест не сдала	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	На что влияет, если в разделе тест- тест не сдала
2	Не дает пройти к уроку, хотя предыдущий тест сдан	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Не дает пройти к уроку, хотя предыдущий тест сдан
2	Прошла программы обучения, а на почту сыпятся письма, что надо пройти тесты	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Прошла программы обучения, а на почту сыпятся письма, что надо пройти тесты
2	Сколько будет попыток на сдачу итогового теста	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сколько будет попыток на сдачу итогового теста
2	Сколько неточных ответов допускается для сдачи теста	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сколько неточных ответов допускается для сдачи теста
2	Тесты, которые не прошла, их можно как то пересдать	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Тесты, которые не прошла, их можно как то пересдать
2	Можно возвращаться назад к пройденным урокам, без повторного прохождения теста	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Можно возвращаться назад к пройденным урокам, без повторного прохождения теста
2	Итоговый тест имеет несколько попыток?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Итоговый тест имеет несколько попыток?
2	Сдача тестов будет зачтена если не уложился в указанное время	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сдача тестов будет зачтена если не уложился в указанное время
2	Не прошла тест, его можно пройти заново	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Не прошла тест, его можно пройти заново
2	что делать если не успел сдать тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	что делать если не успел сдать тест
2	Где пройти тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Где пройти тест
2	Итоговый тест сколько раз можно проходить и можно узнать сколько там вопросов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Итоговый тест сколько раз можно проходить и можно узнать сколько там вопросов
2	Тесты закончила что дальше	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Тесты закончила что дальше
2	Сколько попыток на сдачу тестов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Сколько попыток на сдачу тестов
2	Помогите найти не сданные тесты	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Помогите найти не сданные тесты
2	Как открыть тест?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Как открыть тест?
2	Если не успеть сдавать тесты до сроков, которые указаны, эту тему обучения уже не пройти	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Если не успеть сдавать тесты до сроков, которые указаны, эту тему обучения уже не пройти
2	Как пройти заключительный тест	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Как пройти заключительный тест
2	Я ответила на все вопросы заключительного теста и компьютер переключился на первый вопрос, что делать	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Я ответила на все вопросы заключительного теста и компьютер переключился на первый вопрос, что делать
2	Могу пройти сразу итоговый заключительный тест без промижуточных	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Могу пройти сразу итоговый заключительный тест без промижуточных
2	Итоговый тест сдаётся на время? Сколько попыток? и сколько вопросов?	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=75248	Итоговый тест сдаётся на время? Сколько попыток? и сколько вопросов?
